Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,21.482821,22.275810,21.362671,22.179689,20.893421,19603900
2012-01-04,21.939390,22.828501,21.939390,22.708349,21.391430,17183700
2012-01-05,22.419991,22.780439,22.083570,22.492081,21.187698,11318100
2012-01-06,21.819241,22.227751,21.819241,22.011480,20.734970,14641100
2012-01-09,22.251780,22.780439,22.155661,22.660290,21.346153,23624200
2012-01-10,23.309099,23.669550,22.540140,22.684320,21.368786,26715800
2012-01-11,22.732380,23.237009,22.492081,23.140890,21.798883,11934500
2012-01-12,23.597460,23.957911,23.020741,23.861790,22.477974,15016200
2012-01-13,23.621490,23.717609,23.188950,23.549400,22.183699,13604900
2012-01-17,23.957911,24.102091,23.309099,23.453279,22.093157,10103700
2012-01-18,23.549400,24.102091,23.453279,24.078060,22.681707,10617400
2012-01-19,24.222240,24.606720,24.150150,24.462540,23.043886,11711400
2012-01-20,24.366421,24.534630,24.174179,24.438511,23.021252,9716200
2012-01-23,24.534630,24.798960,24.366421,24.630751,23.202345,11912700
2012-01-24,24.390450,24.750900,24.150150,24.678810,23.247616,8622500
2012-01-25,24.534630,25.231501,24.222240,25.183439,23.722980,12543900
2012-01-26,25.615980,25.808220,24.630751,24.895081,23.451342,11300700
2012-01-27,24.654779,25.159410,24.462540,25.063290,23.609798,9039200
2012-01-30,24.726870,25.039261,24.558661,24.798960,23.360800,8033300
2012-01-31,25.111349,25.135380,24.270300,24.414480,22.998613,10442900
2012-02-01,24.678810,24.822990,24.438511,24.510599,23.157537,10509300
2012-02-02,24.798960,25.159410,24.654779,25.039261,23.657013,10125200
2012-02-03,25.423740,25.928370,25.231501,25.856279,24.428930,14933500
2012-02-06,25.591949,25.856279,25.471800,25.808220,24.383522,7764100
2012-02-07,25.712099,25.856279,25.495831,25.640011,24.224598,9839200
2012-02-08,25.832251,26.240761,25.495831,25.640011,24.224598,11233300
2012-02-09,25.760160,25.904341,25.303591,25.567921,24.156492,8512800
2012-02-10,25.135380,25.135380,24.558661,24.726870,23.361868,9659100
2012-02-13,25.015230,25.111349,24.726870,24.822990,23.452684,7924300
2012-02-14,24.654779,24.678810,24.270300,24.534630,23.180243,10291800
2012-02-15,24.750900,24.750900,24.270300,24.270300,22.930500,11188800
2012-02-16,24.342390,24.750900,24.102091,24.702841,23.339169,8415600
2012-02-17,24.919109,24.967171,24.270300,24.390450,23.044022,8242300
2012-02-21,24.606720,25.231501,24.510599,25.015230,23.634310,12404400
2012-02-22,25.111349,25.183439,24.678810,24.943140,23.566198,9508600
2012-02-23,24.943140,25.207470,24.750900,25.135380,23.747824,7588000
2012-02-24,25.135380,25.399710,25.015230,25.063290,23.679718,7912600
2012-02-27,24.871050,25.015230,24.654779,24.798960,23.429976,6474900
2012-02-28,24.895081,25.087320,24.750900,24.919109,23.543495,7518100
2012-02-29,24.943140,25.231501,24.390450,24.438511,23.089428,10213600
2012-03-01,24.630751,24.750900,24.414480,24.678810,23.316462,8527300
2012-03-02,24.630751,24.798960,24.462540,24.606720,23.248350,9339700
2012-03-05,24.414480,24.438511,23.621490,23.717609,22.408321,12388800
2012-03-06,23.261040,23.261040,22.732380,22.756411,21.500187,14130300
2012-03-07,22.948650,23.068800,22.708349,22.948650,21.681814,9579400
2012-03-08,23.285070,23.621490,22.996710,23.477310,22.181288,8096500
2012-03-09,23.573429,24.005970,23.453279,23.573429,22.272099,8924000
2012-03-12,23.645519,23.933880,23.549400,23.717609,22.408321,8817100
