Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
"PutsforApril 20, 2018",,,,,,,,,,
Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AAPL180420P00002500,2017-09-22 10:55PM EST,2.5,0.01,0,0.01,0,-,1,1,300.00%
AAPL180420P00050000,2017-10-20 10:47PM EST,50,0.01,0,0.02,0,-,2,0,84.38%
AAPL180420P00055000,2017-10-16 10:44AM EST,55,0.01,0,0.02,-0.01,-50.00%,1,1,78.13%
AAPL180420P00060000,2017-10-27 10:52PM EST,60,0.02,0,0.03,0,-,212,212,74.22%
AAPL180420P00065000,2017-10-20 1:45PM EST,65,0.02,0,0.07,-0.01,-33.33%,2,621,74.22%
AAPL180420P00070000,2018-01-12 12:10PM EST,70,0.01,0,0.02,-0.02,-66.67%,5,473,60.94%
AAPL180420P00075000,2018-01-29 11:12AM EST,75,0.02,0,0.02,0,-,20,"3,526",56.25%
AAPL180420P00080000,2018-02-01 3:48PM EST,80,0.02,0,0.03,0,-,32,362,53.13%
AAPL180420P00085000,2018-02-05 3:49PM EST,85,0.05,0,0.25,0,-,385,"1,823",61.52%
AAPL180420P00090000,2018-02-07 9:32AM EST,90,0.05,0,0.1,0,-,5,"1,154",50.20%
AAPL180420P00095000,2018-02-08 3:14PM EST,95,0.05,0,0.11,0,-,2,"2,856",50.39%
AAPL180420P00100000,2018-02-08 3:50PM EST,100,0.1,0.08,0.16,0,-,2,"1,169",48.15%
AAPL180420P00105000,2018-02-08 1:18PM EST,105,0.13,0.03,0.2,0,-,1,431,44.97%
AAPL180420P00110000,2018-02-08 1:42PM EST,110,0.18,0.1,0.27,0,-,27,708,42.38%
AAPL180420P00115000,2018-02-08 3:58PM EST,115,0.41,0.25,0.35,0,-,20,"1,510",39.50%
AAPL180420P00120000,2018-02-08 3:47PM EST,120,0.48,0.35,0.48,0,-,18,"1,448",37.11%
AAPL180420P00125000,2018-02-09 9:30AM EST,125,0.89,0.55,0.69,0.34,61.82%,10,"1,804",35.08%
